ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
3292,99,1236,1737,1722,28,2,0,5,0,764,696,424,426,425,3,2,21,88,43,35,54,15,20,12315,332505.0,27.0,1.35,21,1,1829,2734,532.01
3294,78,1236,1745,1565,39,2,0,1,0,764,696,382,395,394,2,1,18,47,11,41,36,4,30,50,1183.5,23.67,0.79,15,1,1007,2958,1.89
3302,65,1236,1764,2013,40,2,0,5,0,764,711,441,454,453,2,1,22,106,58,15,5,11,60,1440,10440.0,7.25,0.12,23,1,381,1958,20.46
3313,70,1236,1794,1788,41,2,0,5,0,764,737,412,425,424,3,3,50,94,51,15,54,16,100,4500,45.0,0.01,0.0,44,0,3524,5570,0.09
3354,82,1236,1829,2037,11,2,0,5,0,764,791,431,444,443,3,2,61,85,26,8,54,15,1,6998,160954.0,23.0,23.0,49,1,2356,3699,315.47
3357,80,1236,1840,1671,33,2,0,3,3,764,895,373,380,379,2,5,58,178,85,32,2,7,200,60,360.6,6.01,0.03,32,1,4687,5432,0.58
3358,80,1236,1840,1672,33,2,0,3,3,764,895,373,377,376,2,1,58,170,82,46,37,0,60,130,644.8,4.96,0.08,15,0,4687,5432,1.03
3359,80,1236,1840,1671,33,2,0,3,3,764,895,373,380,379,2,1,58,9,0,47,33,14,60,40,1337.2,33.43,0.56,33,0,4687,5432,2.14
3360,84,1236,1842,1677,27,2,0,5,0,764,801,393,406,405,3,2,50,69,24,6,54,15,25,1,75.0,75.0,3.0,44,1,4687,5433,0.12
3375,53,1236,1866,2104,9,2,0,5,0,764,882,466,483,482,0,0,31,22,4,15,38,13,12,50000,19500.0,0.39,0.03,46,0,3564,5610,38.22
3378,72,1236,1873,2214,26,2,0,6,0,764,812,481,499,498,3,2,12,70,27,11,54,15,100,1000,80000.0,80.0,0.8,5,1,1774,3084,156.8
3386,72,1236,1872,1580,26,2,0,5,0,764,812,400,413,412,3,2,50,71,28,11,54,15,100,1000,71990.0,71.99,0.72,44,1,1597,2455,115.18
3419,53,1236,1885,2161,9,2,0,5,0,764,855,450,464,463,3,2,15,1,50,16,54,15,40,862,65512.0,76.0,1.9,17,1,3338,2333,128.4
3421,97,1236,1706,1739,28,2,0,1,0,764,851,405,418,417,2,1,42,57,13,1,46,11,30,5900,297360.0,50.4,1.68,55,1,2363,1406,475.78
3441,70,1236,1898,2535,41,2,0,5,0,764,101,500,518,517,3,2,50,71,28,11,54,15,100,5500,395945.0,71.99,0.72,44,1,703,570,776.05
3456,65,1236,1902,2452,40,2,0,5,0,764,102,486,504,503,2,1,13,104,57,15,13,10,60,6156,14774.4,2.4,0.04,11,1,69,3306,28.96
3457,84,1236,1908,2361,27,2,0,5,0,764,85,465,482,481,3,2,50,70,27,11,54,15,100,150,10800.0,72.0,0.72,44,1,2248,2693,21.17
3470,78,1236,1910,2177,39,2,0,1,0,764,94,447,461,460,2,1,18,46,11,41,22,4,30,50,917.0,18.34,0.61,15,1,1007,3251,1.8
3479,82,1236,1915,2318,11,2,0,5,0,764,119,467,480,479,3,2,61,85,26,8,54,15,1,3510,80730.0,23.0,23.0,49,1,1369,1791,158.23
3490,80,1236,1922,2541,33,2,0,3,3,764,895,537,417,416,2,1,58,168,82,46,34,0,60,1200,5772.0,4.81,0.08,15,0,4687,5432,11.31
3499,67,1236,1924,2241,37,2,0,5,0,764,161,463,479,478,3,2,70,89,44,39,54,15,20,839,26848.0,32.0,1.6,85,1,1539,2932,52.62
3507,99,1236,1926,2402,28,2,0,5,0,764,183,474,492,491,3,2,50,70,27,11,54,15,100,5259,420720.0,80.0,0.8,44,1,673,2099,824.61
3508,103,1236,1927,2267,27,2,0,5,0,764,183,468,485,484,3,2,36,71,28,11,54,15,100,7,490.0,70.0,0.7,44,0,3584,5630,0.96
3551,28,1236,1941,2530,15,2,0,5,0,764,226,499,515,514,3,2,70,89,44,39,54,15,20,1062,33984.0,32.0,1.6,85,1,1850,3611,66.61
3552,28,1236,1942,2537,15,2,0,5,0,764,229,499,517,516,3,2,50,70,27,11,54,15,100,213,15336.0,72.0,0.72,44,1,2737,194,30.06
3615,65,1236,1958,2563,40,2,0,5,0,764,14,518,535,534,2,1,46,183,85,15,33,10,60,336,2520.0,7.5,0.12,65,1,857,2355,4.94
3616,65,1236,1953,2542,40,2,0,5,0,764,14,514,531,530,2,1,13,110,59,15,9,11,60,300,3345.0,11.15,0.19,11,0,3622,5668,6.56
3674,63,1236,1975,2565,30,2,0,5,0,764,308,510,527,526,3,2,50,71,28,11,54,15,100,386,27020.0,70.0,0.7,44,1,3200,3338,52.96
3718,61,1236,1984,2575,16,2,0,1,0,764,429,509,526,525,2,5,18,42,10,40,23,1,60,80,560.0,7.0,0.12,15,0,3626,5672,1.1
3719,61,1236,1986,2592,16,2,0,6,0,764,429,520,537,536,2,1,2,128,66,0,18,10,120,1470,60417.0,41.1,0.34,7,1,1873,2314,118.42
3735,80,1236,1992,2550,33,2,0,3,0,764,895,499,453,452,2,1,58,161,82,46,14,0,60,1000,3970.0,3.97,0.07,15,0,4687,5432,7.78
3736,80,1236,1992,2550,33,2,0,3,0,764,895,499,453,452,2,1,58,169,82,15,34,0,60,3675,9371.25,2.55,0.04,11,0,4687,5432,18.37
