ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
25476,81,509,1597,2232,33,2,0,3,3,713,297,1953,1915,2,1,51,61,15,15,17,11,30,-0.4576566406811372,-0.4558982857555653,-0.0017594044930074,0.0361147075693827,11,0,1.3346517778620024,0.7473291722026011,-0.4713418180476819
86611,54,110,5206,5815,9,2,1,7,3,209,896,1614,1625,2,5,59,13,1,15,45,11,30,-0.3080564221155727,-0.3870840178750982,-0.3927080411668595,-0.1470550960593027,65,1,-0.9083825983181448,-1.0021367935955745,-0.4118360374586639
55712,66,587,1826,2464,40,2,0,5,0,387,526,2089,2037,2,1,28,59,14,15,47,11,30,-0.0694554390235253,-0.0286917891044645,-0.2721125559337587,-0.0890513249102188,39,0,0.6266733759408349,0.8651160093053055,-0.1203709029159878
84477,64,553,6017,6536,30,2,1,7,3,226,896,2035,1996,2,1,59,119,62,15,10,11,60,0.4127923184696764,0.2016465812155922,-0.3374533824782388,-0.1531607561802588,39,1,-0.676139216005687,0.7473291722026011,0.068838883800655
8590,80,1236,1724,1660,33,2,0,3,3,764,895,348,347,2,5,58,131,66,24,52,7,300,-0.4576816198460337,-0.4555667532495256,0.2970981343664766,-0.1501079261197807,3,0,1.3346517778620024,0.7473291722026011,-0.4706950160847578
82707,19,446,5823,6199,8,2,1,7,0,498,896,1865,1855,2,1,59,10,0,15,33,10,60,-0.4400713085939511,-0.4333385515025293,-0.2341797942149834,-0.1287381156964341,11,1,-1.298101550403722,-1.2239431751526149,-0.4551717689745791
11485,70,1236,2910,6576,41,2,1,7,4,764,896,208,207,2,1,59,60,15,38,31,11,30,-0.0084563183460986,0.911423124512394,0.0951555127306841,0.0819071584765543,10,1,-1.3033948468666838,0.2787313224303704,1.055717191293454
61993,73,451,1522,1974,26,2,0,5,0,453,735,1853,1818,3,2,70,89,44,39,54,15,20,-0.2515785302844254,0.309032876434762,0.2212326109289259,0.3017109228309773,85,1,-0.7065756706677185,-1.3820120907449889,0.0774292223707408
74694,81,509,1598,2264,33,2,0,3,3,713,441,1968,1929,2,5,51,49,12,15,19,0,90,-0.4578564740003097,-0.4564457039347088,-0.1067871089051078,-0.1287381156964341,11,0,1.3346517778620024,0.7473291722026011,-0.4717460692745094
18679,62,132,822,1149,16,2,0,5,2,58,432,1562,1560,2,1,28,59,14,15,47,11,30,0.8931916177605326,1.188310836652332,-0.2501861040731949,-0.0798928347287845,39,1,0.1542466666214765,0.4689239208689363,0.948186364957321
12350,72,1236,5965,4020,26,2,1,7,0,764,896,113,112,2,1,59,128,66,0,18,10,120,-0.4354501630880855,-0.3494618701206169,0.4207633228600562,-0.0829456647892626,7,0,1.3346517778620024,0.7473291722026011,-0.4718471320812163
64946,57,484,1578,2220,12,2,0,5,0,643,875,1989,1948,2,5,46,14,1,15,45,11,60,-0.2312954483884096,-0.3527973240437461,-0.3938043637598876,-0.1653720764221712,65,1,-0.3300899597395463,-0.1271488608326279,-0.3973840560995784
12404,67,1236,2849,6011,37,2,1,7,4,764,896,182,181,2,5,59,48,12,36,19,0,90,-0.4082978108455126,-0.2700222562199472,0.2304417207103627,-0.0768400046683065,54,1,-0.930217446227863,-0.8527361733743954,-0.2635162623356294
11995,70,1236,3492,3851,41,2,1,7,3,763,896,626,625,2,1,59,56,12,15,49,10,30,2.539568376093535,2.323795912701844,-0.3050022337246044,-0.1043154752126093,65,1,0.3785501042394912,-0.165391340411428,3.331348409912537
83748,73,253,5498,5971,26,2,1,7,3,542,896,1738,1721,2,1,59,15,1,15,48,11,30,-0.3371071908902849,-0.267190603112976,-0.1839682194542924,-0.0493645341240035,65,1,-1.6633390063481,0.5326613868336032,-0.3083275108294653
86286,107,721,3872,4243,28,2,1,7,1,193,896,770,769,2,1,59,183,85,15,33,10,60,-0.4329522465984283,-0.434871965369243,-0.3159654596548862,-0.1501079261197807,65,1,1.3346517778620024,0.7478390719303184,-0.4391634203922074
54828,64,1148,425,732,30,2,0,5,0,7,577,1332,1330,2,1,46,117,61,15,32,11,30,2.8319245220430034,1.523112501698893,-0.3666155634527885,-0.1348437758173903,65,1,-1.6838505301420776,-1.79503087019603,1.4651832589470972
10929,82,1236,3018,6641,11,2,1,7,0,764,896,219,218,2,5,59,48,12,36,19,0,90,-0.4156666644900011,-0.3781867709234611,-0.1295906188400942,-0.1317909457569122,51,1,-1.1876039867393902,-1.3085865299536923,-0.3842863163503652
40152,81,509,1595,2142,33,2,0,3,3,713,201,1911,1872,2,5,51,8,0,15,21,7,240,-0.4577315781758268,-0.4561833915465546,-0.09209638615853,-0.1653720764221712,11,0,1.3346517778620024,0.7473291722026011,-0.4715439436610956
5860,76,1236,1559,2174,42,2,0,5,0,764,603,482,481,3,2,50,71,28,11,54,15,100,-0.4230604972993862,-0.1655273924857049,1.0980714208328708,0.0330618775089046,44,1,-0.3816996002534258,0.0977169190907166,-0.0737000987787452
2147,82,1236,1916,2114,11,2,0,5,0,764,119,457,456,3,2,61,85,26,8,54,15,1,-0.3702545427080348,-0.2227803656725021,0.0238945441838519,6.834767252254103,49,1,-0.8607429301514867,-0.9684834115662304,-0.1520237739765864
82448,71,1118,4683,5034,41,2,1,7,3,194,896,1212,1211,2,1,59,10,0,15,33,10,60,-0.2693886748556806,-0.1367700538033495,-0.1596298578890665,-0.1134739653940436,65,1,-1.4595470925240628,-1.866416832076457,-0.1589162573939964
83438,71,746,3913,4398,41,2,1,7,3,70,896,837,836,2,1,59,10,0,15,33,10,60,-0.2195052825572281,0.0172347454288018,-0.1045944637190514,-0.0982098150916531,65,1,0.4275130965218898,-1.6767341333656085,0.2410903315518816
49585,73,347,1236,1586,26,2,0,5,0,202,241,1707,1718,2,1,28,110,59,15,9,11,60,5.786859812647782,5.41553130361091,-0.3025903240199424,-0.1440022659988246,39,1,-0.583506527903852,-1.5324325104216026,3.740996390618253
9022,80,1236,1994,2545,33,2,0,3,0,764,895,455,454,2,5,58,131,66,24,52,7,300,-0.455683286654308,-0.4483855280488145,0.2100501204800383,-0.1562135862407369,3,1,1.3346517778620024,0.7473291722026011,-0.4606291605367513
